ID,Crop Name,N (kg/ha),P (kg/ha),K (kg/ha),Temp (°C),Rain (mm),Hum (%),pH,Soil Type,Season
1182,Tea,179.12,45.66,73.58,18.34,1820.88,88.7,4.98,Red,Perennial
1183,Tamarind,51.22,38.86,61.81,36.45,707.05,59.35,8.03,Alluvial,Perennial
1184,Mace,75.49,47.21,114.78,29.01,2242.26,80.36,5.58,Red,Perennial
1185,Foxtail Millet,43.85,26.01,28.79,29.28,545.19,59.81,6.51,Alluvial,Kharif
1186,French Bean,91.57,86.15,59.51,22.98,622.42,78.21,6.32,Alluvial,Kharif/Rabi
1187,Mustard,89.19,43.19,34.11,18.65,595.59,62.48,6.83,Alluvial,Rabi
1188,Pumpkin,63.39,47.43,74.79,31.43,693.82,55.98,7.41,Sandy Loam,Zaid/Kharif
1189,Foxtail Millet,58.9,24.47,25.86,22.64,735.24,50.18,7.45,Black,Kharif
1190,Popcorn,131.05,67.23,40.98,20.18,679.83,56.46,6.57,Loamy,Kharif
1191,Bitter Gourd,62.76,56.62,68.05,34.87,559.43,65.75,6.67,Red,Zaid/Kharif
1192,Jute,88.09,45.43,52.09,31.8,1443.44,76.33,6.09,Peaty/Marshy,Kharif
1193,Carrot,84.15,76.59,107.3,16.85,565.34,61.78,6.29,Sandy Loam,Rabi
1194,Neem,54.17,23.06,54.0,40.35,1125.66,53.49,6.9,Sandy,Perennial
1195,Tamarind,56.27,30.83,53.19,26.39,1040.37,54.52,7.64,Red,Perennial
1196,Gokhru,27.23,35.73,38.52,36.85,557.51,39.64,8.5,Sandy,Kharif
1197,Coffee,118.1,40.51,125.27,23.48,1375.33,79.14,6.06,Forest,Perennial
1198,Sunn Hemp,24.15,52.32,38.25,20.34,917.75,63.54,7.26,Loamy,Kharif
1199,Cardamom,84.0,91.57,165.53,15.2,2776.71,92.12,6.2,Forest,Perennial
1200,Amla,61.22,50.43,44.01,25.59,900.1,67.74,7.67,Saline,Perennial
1201,Brahmi,64.36,41.55,44.14,25.62,2389.49,91.16,7.43,Peaty/Marshy,Perennial
1202,Makhana,79.76,46.1,47.15,34.22,2410.1,86.59,6.1,Marshy (Stagnant Water),Kharif
1203,Shatavari,43.57,46.31,52.94,26.69,710.15,58.65,7.31,Alluvial,Perennial
1204,Mustard,96.36,51.09,28.92,15.37,494.82,63.34,6.18,Loamy,Rabi
1205,Coconut,0.0,0.0,0.0,22.79,1687.68,75.37,5.53,Sandy,Perennial
1206,Cowpea,22.61,47.09,33.95,24.94,626.87,50.06,6.26,Red,Kharif
1207,Kiwi,136.96,61.96,114.72,7.48,1285.61,75.15,5.7,Forest,Perennial
1208,Buckwheat,44.24,20.28,37.09,0.0,620.31,52.78,6.06,Forest/Mountain,Kharif/Rabi
1209,Sweet Potato,68.12,55.2,125.84,22.92,917.82,78.1,5.54,Alluvial,Kharif/Rabi
1210,Cauliflower,143.27,94.25,84.72,18.74,518.28,60.16,6.4,Loamy,Rabi
1211,Barnyard Millet,38.47,21.81,23.24,23.83,488.09,62.3,6.3,Red,Kharif
1212,Niger Seed,56.83,44.19,37.8,22.88,797.62,62.35,6.41,Gravelly,Kharif
1213,Oil Palm,158.48,90.57,239.35,30.66,2301.56,80.29,5.19,Laterite,Perennial
1214,Shatavari,40.2,43.78,44.63,32.97,762.18,63.75,6.38,Sandy,Perennial
1215,Taramira,45.53,39.11,27.71,22.16,383.66,30.39,8.13,Arid/Desert,Rabi
1216,Horse Gram,20.24,38.27,23.91,22.62,675.59,42.03,7.39,Red,Kharif
1217,Ajwain,55.7,24.7,36.53,24.65,440.31,44.82,7.92,Alluvial,Rabi
1218,Fennel,82.81,57.29,50.58,20.08,699.72,62.42,7.28,Alluvial,Rabi
1219,Plum,125.03,70.74,109.34,0.0,1193.42,71.94,6.28,Mountain,Perennial
1220,Popcorn,130.01,63.52,59.22,27.37,723.05,69.99,6.24,Alluvial,Kharif
1221,Tobacco,116.27,68.43,106.74,26.53,873.72,64.05,5.65,Alluvial,Kharif/Rabi
1222,Green Gram,22.73,41.71,33.68,27.79,746.15,58.12,7.44,Alluvial,Kharif/Zaid
1223,Dragon Fruit,62.9,46.83,91.71,24.38,782.51,58.52,6.69,Sandy,Perennial
1224,Rapeseed,98.48,47.7,35.8,10.96,438.29,53.0,6.44,Loamy,Rabi
1225,Wheat,128.03,54.61,49.12,22.94,826.5,51.67,6.22,Alluvial,Rabi
1226,Hemp (Mesta),65.94,33.97,49.73,33.95,651.88,68.47,6.6,Red,Kharif
1227,Ridge Gourd,73.94,55.58,72.74,23.33,885.88,75.0,6.37,Sandy Loam,Zaid/Kharif
1228,Watermelon,67.9,74.97,86.29,25.29,620.01,54.61,6.98,Sandy,Zaid
1229,Ajwain,57.26,21.24,34.91,30.91,580.1,45.41,7.45,Alluvial,Rabi
1230,Watermelon,71.06,79.19,82.47,31.21,515.99,49.75,6.77,Arid/Desert,Zaid
1231,Drumstick,56.16,58.21,79.19,36.03,980.01,67.9,6.59,Alluvial,Perennial
1232,Tobacco,117.96,54.06,133.37,31.33,951.37,60.59,5.72,Alluvial,Kharif/Rabi
1233,Jute,89.81,40.32,71.71,25.45,1868.15,76.92,6.43,Peaty/Marshy,Kharif
1234,Aloe Vera,31.01,28.11,21.94,20.32,384.38,44.54,7.91,Saline,Perennial
1235,Rajma,80.62,64.46,58.87,15.39,842.52,76.58,5.93,Alluvial,Rabi
1236,Ber,40.54,41.99,45.51,28.04,444.3,44.91,8.76,Saline,Perennial
1237,Peach,108.0,79.3,110.47,0.0,768.07,55.51,6.37,Loamy,Perennial
1238,Coriander,66.99,46.34,43.12,18.98,685.85,67.1,7.27,Alluvial,Rabi
1239,Sapota,83.36,62.46,109.06,30.45,1327.81,82.87,7.47,Red,Perennial
1240,Mulberry,172.94,139.47,145.54,30.01,1493.65,77.28,7.16,Red,Perennial
1241,Chironji,37.8,30.93,35.5,23.11,782.16,54.66,6.15,Red,Perennial
1242,Makhana,63.38,50.26,44.93,26.63,2318.75,82.06,6.41,Marshy (Stagnant Water),Kharif
1243,Turmeric,115.68,72.47,114.51,24.94,1685.08,80.2,7.5,Alluvial,Kharif
1244,Fig,65.43,53.53,80.11,24.57,678.65,50.52,7.21,Sandy,Perennial
1245,Barnyard Millet,37.61,22.67,21.58,21.43,445.24,54.33,6.77,Alluvial,Kharif
1246,Capsicum,103.38,87.44,103.27,18.52,636.11,69.56,6.58,Alluvial,Kharif/Rabi
1247,Garlic,107.76,59.16,95.33,13.27,511.38,70.45,6.68,Black,Rabi
1248,Litchi,104.97,70.71,104.79,24.49,1410.55,81.09,6.76,Forest,Perennial
1249,Karakunda,66.52,48.8,56.73,29.52,1932.78,81.19,7.39,Mountain,Perennial
1250,Sweet Potato,75.66,45.21,149.2,29.43,932.36,80.77,6.78,Loamy,Kharif/Rabi
1251,Amla,69.27,50.8,54.76,27.42,737.71,62.64,6.7,Red,Perennial
1252,Custard Apple,59.74,46.38,46.53,27.15,523.37,72.16,6.31,Gravelly,Perennial
1253,Pumpkin,61.87,57.29,68.43,26.81,605.36,64.76,6.85,Sandy Loam,Zaid/Kharif
1254,Drumstick,54.71,56.12,64.78,29.24,596.97,59.96,7.08,Red,Perennial
1255,Rice (Paddy),123.24,47.38,59.79,24.91,1778.72,76.37,5.64,Clayey,Kharif
1256,Moth Beans,21.07,31.38,15.25,35.28,323.64,38.76,8.15,Arid/Desert,Kharif
1257,Mulberry,165.65,146.94,149.75,28.94,1156.43,72.5,6.92,Red,Perennial
1258,Jackfruit,95.17,49.75,105.57,24.82,2112.03,69.37,6.77,Laterite,Perennial
1259,Onion,123.15,55.78,109.3,21.03,720.09,66.14,6.85,Black,Kharif/Rabi
1260,Cocoa,127.09,72.35,122.35,22.22,2248.41,82.87,6.63,Alluvial,Perennial
1261,Muskmelon,68.89,61.39,84.43,35.85,437.51,59.35,7.14,Sandy,Zaid
1262,Castor Seed,80.0,48.81,22.99,28.98,608.31,43.83,7.82,Sandy Loam,Kharif
1263,Pigeon Pea,45.89,67.36,30.23,25.37,860.63,66.6,7.11,Alluvial,Kharif
1264,Strawberry,117.55,110.79,144.84,0.0,855.59,71.8,6.08,Alluvial,Rabi/Winter
1265,Cluster Bean,29.42,59.76,22.77,27.73,372.18,49.72,7.92,Arid,Kharif
1266,Pomegranate,84.31,41.94,83.11,25.74,685.7,51.36,7.76,Saline,Perennial
1267,Makhana,61.77,59.28,47.46,22.08,2236.93,87.74,6.42,Marshy (Stagnant Water),Kharif
1268,Oats,87.99,47.9,42.6,19.41,720.07,61.45,6.14,Alluvial,Rabi
1269,Okra,115.6,53.39,51.04,31.65,834.07,76.87,6.92,Loamy,Kharif/Zaid
1270,Mango,114.22,57.18,110.89,26.48,1432.58,55.67,5.9,Laterite,Perennial (Fruiting: Summer)
1271,Jasmine,114.25,110.48,111.52,30.58,1051.51,72.88,6.56,Alluvial,Perennial
1272,Aloe Vera,36.51,35.03,33.08,38.48,426.93,47.27,8.07,Sandy,Perennial
1273,Ridge Gourd,66.66,41.17,74.74,31.87,735.07,68.49,6.09,Sandy Loam,Zaid/Kharif
1274,Linseed,73.83,48.32,36.35,24.63,620.78,66.02,6.71,Alluvial,Rabi
1275,Ashwagandha,43.6,46.63,35.88,20.99,604.64,54.02,7.6,Black,Kharif/Rabi
1276,Black Gram,33.44,48.73,37.95,27.09,900.02,71.15,6.61,Black,Kharif
1277,Lentil,26.76,49.42,25.39,21.75,412.18,52.61,6.96,Alluvial,Rabi
1278,Pear,113.86,60.67,92.47,0.0,1087.97,64.73,6.39,Forest,Perennial
1279,Cluster Bean,23.47,53.27,23.35,27.95,452.65,52.38,7.72,Arid,Kharif
1280,Bitter Gourd,63.09,48.93,72.94,28.5,731.24,60.71,7.21,Sandy Loam,Zaid/Kharif
1281,Tulsi,67.1,41.75,49.46,28.54,997.09,64.35,6.13,Alluvial,Perennial
1282,Chili,102.96,76.53,62.22,30.11,1118.3,59.91,6.91,Alluvial,Kharif/Rabi
1283,Lettuce,84.81,40.2,44.6,18.83,689.58,73.2,6.08,Peaty,Rabi
1284,Sugarcane,235.85,117.94,109.96,25.72,1793.91,75.67,6.72,Alluvial,Perennial (Annual)
1285,Radish,71.66,44.17,69.75,19.87,406.85,54.65,6.32,Alluvial,Rabi
1286,Banana,192.52,68.84,239.79,25.27,2013.29,78.84,6.71,Loamy,Perennial
1287,Cluster Bean,21.03,46.62,29.32,33.21,467.03,50.4,7.82,Alluvial,Kharif
1288,Mango,126.24,79.02,109.13,28.29,1164.1,73.77,6.8,Laterite,Perennial (Fruiting: Summer)
1289,Cashew Nut,67.68,31.45,58.12,26.85,1300.34,66.86,5.2,Laterite,Perennial
1290,Arecanut,128.11,49.86,168.78,32.4,2924.59,75.33,6.73,Laterite,Perennial
1291,Ashwagandha,40.48,54.17,25.82,34.01,706.5,48.52,7.61,Sandy Loam,Kharif/Rabi
1292,Moth Beans,18.45,32.87,15.26,33.21,297.19,30.18,7.01,Arid/Desert,Kharif
1293,Sweet Corn,127.84,77.95,57.53,30.73,1169.63,78.64,6.39,Alluvial,Kharif
1294,Ash Gourd,62.1,42.42,78.71,23.5,576.84,71.39,6.59,Red,Zaid/Kharif
1295,Brinjal,147.14,77.82,60.75,29.84,1035.61,77.0,6.19,Black,Kharif/Rabi
1296,Toria,63.37,47.53,31.7,22.05,616.06,48.0,7.39,Loamy,Rabi
1297,Chili,112.29,60.29,72.34,26.08,1184.05,71.47,6.85,Black,Kharif/Rabi
1298,Buckwheat,58.61,39.73,22.86,0.0,505.96,69.22,5.3,Forest/Mountain,Kharif/Rabi
1299,Neem,57.93,21.16,45.28,23.49,845.33,44.18,6.9,Saline,Perennial
1300,Spinach,84.84,51.24,56.01,2.05,735.96,73.42,7.41,Loamy,Rabi
1301,Drumstick,69.57,52.69,62.67,34.8,990.31,60.49,7.02,Red,Perennial
1302,Opium Poppy,95.42,61.11,67.95,6.55,787.75,52.29,6.86,Alluvial,Rabi
1303,Marigold,82.01,69.5,83.54,18.79,713.65,74.3,6.06,Alluvial,Kharif/Rabi
1304,Black Pepper,147.01,54.58,141.68,32.21,2228.13,86.85,5.65,Forest,Perennial
1305,Toria,62.19,45.51,31.08,23.14,416.59,62.59,6.89,Alluvial,Rabi
1306,Ber,46.84,34.06,49.42,22.23,497.59,40.03,8.52,Saline,Perennial
1307,Nutmeg,94.58,53.05,84.99,21.74,2518.27,92.34,6.9,Red,Perennial
1308,Peach,143.91,61.61,80.31,0.0,925.48,65.63,6.76,Forest,Perennial
1309,Jute,93.46,46.95,70.45,31.69,1533.61,71.58,6.11,Alluvial,Kharif
1310,Strawberry,121.62,106.51,147.68,0.0,609.72,77.05,5.53,Forest/Mountain,Rabi/Winter
1311,Coriander,65.23,46.31,42.42,18.8,732.5,54.83,7.87,Alluvial,Rabi
1312,Jowar,89.01,49.09,42.35,26.73,520.28,59.5,6.31,Loamy,Kharif
1313,Marigold,78.11,86.37,66.04,23.79,846.04,60.55,7.28,Red,Kharif/Rabi
1314,Amla,76.46,48.16,59.03,37.82,592.05,54.93,7.56,Saline,Perennial
1315,Popcorn,122.05,61.73,47.21,21.86,619.32,66.63,6.57,Loamy,Kharif
1316,Garlic,107.09,53.45,87.76,21.53,771.34,61.99,6.01,Loamy,Rabi
1317,Lemongrass,62.81,44.78,57.32,24.98,2433.08,86.78,6.18,Red,Perennial
1318,Chironji,37.5,44.77,44.88,29.65,621.17,59.56,7.95,Laterite,Perennial
1319,Guar Seed,26.69,58.81,25.79,36.32,473.04,30.07,7.06,Sandy,Kharif
1320,Karakunda,74.99,48.13,54.27,26.8,1574.12,74.81,6.52,Mountain,Perennial
1321,Black Gram,20.21,52.5,21.56,33.41,839.63,65.72,6.97,Alluvial,Kharif
1322,Niger Seed,52.16,55.78,37.89,26.72,623.5,55.13,7.24,Laterite,Kharif
1323,Sugarcane,296.06,93.24,108.21,27.57,2266.41,75.06,6.88,Red,Perennial (Annual)
1324,Banana,185.43,54.33,208.16,33.42,2255.04,86.56,7.41,Alluvial,Perennial
1325,Sapota,100.17,65.85,99.69,31.93,1148.77,79.87,7.95,Red,Perennial
1326,Bajra,78.14,39.17,37.43,36.86,401.86,31.28,7.89,Alluvial,Kharif
1327,Mentha,121.79,52.46,55.77,29.35,1239.03,70.36,6.06,Peaty,Zaid
1328,Maize (Corn),108.77,62.97,49.67,23.99,732.73,61.92,6.48,Alluvial,Kharif
1329,Date Palm,117.99,56.27,100.22,34.81,212.06,27.26,8.21,Saline,Perennial
1330,Coconut,0.0,0.0,0.0,32.62,2750.02,87.26,6.25,Alluvial,Perennial
1331,Proso Millet,34.67,20.97,22.42,27.5,440.35,49.11,7.15,Red,Kharif
1332,Grapes,147.96,171.55,276.63,24.21,703.37,57.73,6.52,Sandy,Perennial (Fruiting: Spring)
1333,Carrot,99.74,97.24,119.02,24.54,551.0,64.72,6.02,Forest,Rabi
1334,Mango,148.58,72.92,123.41,29.52,1176.9,61.3,6.1,Alluvial,Perennial (Fruiting: Summer)
1335,Kiwi,132.15,66.73,147.15,3.39,1449.48,74.19,6.3,Sub-Montane,Perennial
1336,Carrot,94.76,69.76,112.16,19.43,573.07,65.51,6.08,Forest,Rabi
1337,Maize (Corn),106.38,77.75,53.45,31.6,886.64,58.15,6.1,Red,Kharif
1338,Cherry,135.64,87.64,138.89,0.0,1020.94,73.7,6.44,Mountain,Perennial
1339,Banana,234.13,50.62,249.93,33.88,2348.92,81.38,7.64,Alluvial,Perennial
1340,Cashew Nut,70.42,35.59,58.98,27.34,1193.93,73.75,5.37,Coastal,Perennial
1341,Tamarind,51.34,38.74,52.65,24.11,1104.86,55.94,7.52,Alluvial,Perennial
1342,Foxtail Millet,42.89,29.02,24.26,23.04,614.74,56.12,7.35,Red,Kharif
1343,Bottle Gourd,74.14,55.39,60.06,34.58,857.94,56.05,6.45,Red,Zaid/Kharif
1344,Coffee,120.37,46.52,141.44,26.97,1618.24,75.92,5.57,Laterite,Perennial
1345,Barnyard Millet,38.4,20.99,23.27,24.41,571.23,40.14,7.24,Forest,Kharif
1346,Barley,67.6,33.24,23.33,25.18,599.8,49.71,7.81,Saline,Rabi
1347,Chickpea,24.24,46.27,22.92,20.09,437.56,42.51,6.27,Loamy,Rabi
1348,Groundnut,46.24,66.64,54.59,26.92,661.06,50.15,6.74,Red,Kharif
1349,Pumpkin,63.54,49.73,75.46,23.87,685.85,74.8,6.08,Sandy Loam,Zaid/Kharif
1350,Avocado,113.75,72.18,124.06,29.17,1273.9,64.21,5.4,Red,Perennial
1351,Stevia,87.72,64.48,62.46,17.54,1481.44,83.8,6.2,Red,Perennial
1352,Chickpea,20.21,46.47,22.72,17.32,476.11,54.39,7.9,Alluvial,Rabi
1353,Fenugreek,42.57,51.12,31.52,19.25,572.49,50.17,7.78,Loamy,Rabi
1354,Gokhru,37.55,22.65,30.53,24.34,359.92,47.19,7.65,Arid/Desert,Kharif
1355,Drumstick,55.28,54.79,64.44,25.21,713.73,56.65,6.28,Red,Perennial
1356,Sapota,99.03,68.99,108.13,23.5,1807.09,71.06,7.97,Red,Perennial
1357,Tea (Clone),167.18,47.02,88.79,19.03,3472.35,82.41,5.45,Forest,Perennial
1358,Little Millet,30.98,22.58,22.39,31.79,409.21,50.63,7.16,Sandy,Kharif
1359,Aloe Vera,22.08,37.09,32.78,28.96,284.07,32.97,8.15,Arid,Perennial
1360,Kalmegh,41.21,46.69,34.4,29.81,1811.0,66.97,7.0,Red,Kharif
1361,Brinjal,145.28,53.3,64.59,28.96,734.52,69.23,6.29,Loamy,Kharif/Rabi
1362,Jasmine,106.03,102.52,100.14,23.34,1793.59,82.46,6.7,Alluvial,Perennial
1363,Isabgol,47.5,33.32,34.05,20.67,338.26,47.8,7.51,Alluvial,Rabi
1364,Ajwain,55.76,31.36,33.17,25.08,546.0,48.21,7.94,Sandy Loam,Rabi
1365,Nutmeg,81.68,59.32,81.09,23.55,3106.41,84.29,6.26,Red,Perennial
1366,Toria,63.94,42.13,35.34,17.59,501.42,50.79,6.44,Loamy,Rabi
1367,Peach,132.72,75.24,117.12,0.0,1125.25,61.05,6.43,Loamy,Perennial
1368,Sapota,103.31,72.39,101.47,20.2,1145.44,69.89,7.05,Red,Perennial
1369,Soybean,27.39,86.23,44.29,30.36,698.76,73.69,6.45,Alluvial,Kharif
1370,Mushrooms,19.95,6.68,8.32,25.76,509.12,81.86,6.69,Peaty/Organic Waste,Year-round
1371,Cotton,142.8,60.74,59.61,24.56,516.73,52.81,7.31,Laterite,Kharif
1372,Indigo,41.11,52.31,34.86,27.48,797.1,68.18,6.04,Loamy,Kharif
1373,Popcorn,123.85,72.65,40.43,22.6,774.18,62.04,6.2,Loamy,Kharif
1374,Barley,68.41,30.64,27.37,14.04,602.41,45.14,7.9,Loamy,Rabi
1375,Jasmine,102.74,115.49,108.76,26.36,1911.55,79.66,7.27,Red,Perennial
1376,Bitter Gourd,62.62,40.04,70.45,30.83,781.99,57.05,6.75,Alluvial,Zaid/Kharif
1377,Foxtail Millet,57.87,26.92,28.8,27.33,562.95,59.25,6.29,Alluvial,Kharif
1378,Clove,88.23,54.12,81.22,24.84,2207.98,93.42,5.18,Laterite,Perennial
1379,Horse Gram,20.2,30.46,20.25,22.7,572.45,42.27,7.33,Red,Kharif
1380,Rapeseed,83.29,50.14,33.61,9.55,414.39,56.93,7.02,Loamy,Rabi
1381,Coconut,0.0,0.0,0.0,33.19,2345.9,82.09,5.76,Coastal,Perennial
1382,Turmeric,127.43,50.5,145.62,26.96,2009.84,87.22,5.58,Alluvial,Kharif
1383,Lentil,22.92,48.39,21.49,24.22,486.77,46.9,6.29,Loamy,Rabi
1384,Shatavari,42.05,57.13,46.31,28.43,637.49,58.14,6.89,Alluvial,Perennial
1385,Capsicum,107.65,80.58,115.02,19.14,715.78,76.79,6.66,Alluvial,Kharif/Rabi
1386,Turmeric,136.93,65.12,132.99,31.43,2348.14,74.12,5.95,Red,Kharif
1387,Maize (Corn),108.91,69.64,55.76,30.18,829.43,56.15,7.12,Alluvial,Kharif
1388,Rice (Paddy),127.4,48.15,56.97,34.95,1784.5,77.24,5.74,Clayey,Kharif
1389,Pineapple,136.68,53.91,109.53,23.26,1505.11,83.18,4.56,Red,Perennial
1390,Kalmegh,51.26,47.08,31.2,27.09,1441.99,84.6,7.43,Red,Kharif
1391,Almonds,144.9,93.98,137.46,0.0,573.41,42.28,7.82,Arid,Perennial
1392,Date Palm,112.34,45.21,116.58,37.1,133.44,22.68,7.7,Sandy,Perennial
1393,Green Gram,34.6,48.73,32.1,30.61,607.54,62.24,7.18,Red,Kharif/Zaid
1394,Jowar,98.32,46.13,44.04,30.32,680.19,47.05,7.52,Alluvial,Kharif
1395,Sunflower,95.5,79.86,58.81,27.79,767.29,74.74,7.04,Alluvial,Kharif/Rabi/Zaid
1396,Taramira,59.2,33.03,21.47,17.07,432.14,47.5,8.42,Arid/Desert,Rabi
1397,Mentha,146.64,52.0,59.8,23.11,1443.75,65.27,6.75,Peaty,Zaid
1398,Marigold,81.31,76.84,64.19,25.85,732.83,70.31,7.33,Loamy,Kharif/Rabi
1399,Hemp (Mesta),61.93,45.85,41.81,29.26,601.33,83.51,5.79,Alluvial,Kharif
1400,Linseed,70.3,45.76,32.75,20.82,644.77,65.17,6.96,Alluvial,Rabi
1401,Chili,113.1,73.29,71.97,21.67,640.01,70.13,6.13,Loamy,Kharif/Rabi
1402,Lettuce,97.91,51.7,48.64,12.95,641.64,75.01,6.2,Alluvial,Rabi
1403,Niger Seed,51.96,48.07,30.8,27.51,611.92,54.86,6.05,Laterite,Kharif
1404,Mentha,139.95,55.77,56.67,20.07,1315.98,70.74,7.17,Alluvial,Zaid
1405,Cauliflower,127.89,92.48,81.33,18.51,542.7,61.98,6.18,Loamy,Rabi
1406,Green Gram,31.58,46.68,30.4,33.16,770.11,65.13,6.98,Red,Kharif/Zaid
1407,Bajra,70.84,36.24,37.39,27.94,527.55,49.11,8.4,Sandy,Kharif
1408,Avocado,108.57,79.21,133.08,24.52,1683.47,79.43,5.6,Laterite,Perennial
1409,Ber,55.18,41.22,54.45,35.3,396.02,37.13,8.49,Saline,Perennial
1410,Peach,140.54,64.34,88.83,0.0,972.8,57.88,6.15,Forest,Perennial
1411,Marigold,69.3,88.46,67.21,21.05,949.43,63.11,6.2,Red,Kharif/Rabi
1412,Sweet Potato,69.74,42.93,134.32,22.18,968.35,78.7,5.56,Sandy,Kharif/Rabi
1413,Rose,148.49,136.83,131.64,16.34,1449.7,70.26,7.0,Loamy,Perennial
1414,Capsicum,103.84,90.38,116.06,28.65,700.27,62.22,6.1,Alluvial,Kharif/Rabi
1415,Proso Millet,32.29,23.31,20.41,20.37,487.39,37.56,6.97,Sandy,Kharif
1416,Toria,76.02,47.52,27.42,23.8,676.78,49.75,6.99,Alluvial,Rabi
1417,Stevia,90.06,75.81,79.26,29.96,1770.47,86.86,6.09,Alluvial,Perennial
1418,Saffron,88.36,50.05,72.44,0.0,509.52,53.65,7.68,Karewa Soil,Rabi (Autumn)
1419,Coconut,0.0,0.0,0.0,32.22,1049.84,78.13,7.14,Alluvial,Perennial
1420,Turmeric,147.58,66.4,147.48,28.33,2325.65,72.32,5.85,Laterite,Kharif
1421,Sweet Corn,137.99,62.56,56.5,30.04,786.84,60.47,7.06,Alluvial,Kharif
1422,Oats,87.86,46.8,47.57,18.25,782.72,63.03,6.67,Loamy,Rabi
1423,Gokhru,38.99,30.22,38.52,29.21,399.4,44.98,8.13,Arid/Desert,Kharif
1424,Saffron,86.82,55.51,65.5,0.0,605.74,47.84,7.25,Karewa Soil,Rabi (Autumn)
1425,Kiwi,126.89,74.71,136.04,15.85,1046.29,60.03,5.97,Forest,Perennial
1426,Sunn Hemp,21.36,56.26,31.53,20.83,524.26,55.45,6.15,Sandy,Kharif
1427,Sweet Potato,77.75,56.98,106.96,26.36,961.57,75.04,6.41,Sandy,Kharif/Rabi
1428,Sunn Hemp,26.12,46.85,30.43,26.44,500.26,62.94,7.23,Loamy,Kharif
1429,Wheat,103.77,63.91,51.07,18.27,636.61,42.67,6.6,Loamy,Rabi
1430,Lettuce,91.57,57.55,42.79,21.58,509.63,64.96,6.95,Peaty,Rabi
1431,Maize (Corn),124.39,64.06,50.49,20.59,962.13,60.86,6.02,Loamy,Kharif
1432,Lettuce,86.27,43.41,58.24,10.45,460.0,72.71,6.51,Alluvial,Rabi
1433,Cauliflower,138.9,88.02,89.43,24.52,513.47,73.52,6.13,Loamy,Rabi
1434,Makhana,62.86,53.79,42.64,25.13,2353.77,81.81,6.83,Marshy (Stagnant Water),Kharif
1435,Tobacco,117.3,59.33,148.49,28.55,847.28,61.16,6.98,Sandy,Kharif/Rabi
1436,Watermelon,68.3,62.67,83.52,27.08,595.6,58.0,7.06,Sandy,Zaid
1437,Kalmegh,56.54,42.0,32.2,21.13,1195.51,66.48,6.72,Alluvial,Kharif
1438,Guava,79.19,53.6,67.04,28.13,1189.74,67.21,5.78,Loamy,Perennial
1439,Lentil,23.71,48.84,27.4,20.54,486.91,42.39,6.34,Alluvial,Rabi
1440,Sunflower,83.21,60.12,51.03,21.1,698.23,55.25,7.74,Loamy,Kharif/Rabi/Zaid
1441,Ginger,107.31,58.72,149.12,31.89,2304.12,85.97,6.45,Laterite,Kharif
1442,Okra,103.93,56.98,54.95,34.69,922.97,62.11,6.03,Black,Kharif/Zaid
1443,Bitter Gourd,65.75,43.17,64.72,23.67,690.42,56.02,7.41,Sandy Loam,Zaid/Kharif
1444,Guava,75.31,50.54,65.91,31.16,1095.93,70.21,7.5,Alluvial,Perennial
1445,Walnuts,161.13,100.98,138.84,0.0,1069.83,67.88,6.73,Mountain,Perennial
1446,Maize (Corn),137.61,76.8,49.86,20.19,592.27,67.57,6.18,Forest,Kharif
1447,Opium Poppy,89.28,67.48,76.49,9.18,614.32,50.48,6.88,Alluvial,Rabi
1448,French Bean,79.46,94.25,45.09,21.4,943.58,70.48,6.13,Loamy,Kharif/Rabi
1449,Lettuce,90.48,58.22,43.49,5.65,455.75,63.84,6.04,Alluvial,Rabi
1450,Vanilla,92.47,58.81,82.55,21.96,3021.95,77.86,6.19,Laterite,Perennial
1451,Rubber,89.08,66.12,93.91,33.99,2152.64,92.88,5.01,Laterite,Perennial
1452,Barnyard Millet,31.78,22.11,23.95,29.43,721.02,47.15,6.84,Alluvial,Kharif
1453,Garlic,103.35,56.43,97.8,21.37,553.12,71.9,6.88,Alluvial,Rabi
1454,Onion,132.42,58.56,94.6,24.82,712.68,67.59,7.35,Black,Kharif/Rabi
1455,Indigo,44.19,53.21,31.15,23.17,914.9,65.68,6.26,Alluvial,Kharif
1456,Betel Vine,196.21,136.19,137.22,25.79,2049.63,86.21,6.02,Clayey,Perennial
1457,Ber,44.23,30.23,46.12,26.39,414.73,45.57,8.08,Arid,Perennial
1458,Kodo Millet,38.11,24.56,24.57,29.16,476.24,41.79,6.27,Arid,Kharif
1459,Drumstick,52.3,49.7,69.58,35.64,835.58,48.21,6.67,Alluvial,Perennial
1460,Buckwheat,41.85,22.42,39.24,0.0,786.64,50.72,5.16,Forest/Mountain,Kharif/Rabi
1461,Foxtail Millet,44.57,24.98,20.48,23.67,746.64,52.29,6.13,Red,Kharif
1462,Mushrooms,12.16,5.02,6.11,22.24,520.65,92.68,7.12,Peaty/Organic Waste,Year-round
1463,Drumstick,67.02,46.34,53.94,27.0,764.18,61.66,6.17,Red,Perennial
1464,Sapota,85.02,77.27,101.99,20.3,1249.13,72.69,6.84,Coastal,Perennial
1465,Radish,64.85,44.29,78.06,13.44,609.51,55.55,7.46,Sandy Loam,Rabi
1466,Clove,94.21,48.89,97.5,30.11,2960.81,85.49,5.27,Coastal,Perennial
